StationID,Lat,Lon,Freeway,Direction,LaneType,TotalFlow,AvgOccupancy,AvgSpeed
3550,37.90020016051532,-122.09300473591078,680,S,FR,40,0.198,30.8
7498,37.69222768206567,-121.89680824299155,680,S,FR,193,0.061,72.2
5769,37.79039176576129,-122.30336552439651,680,W,HOV,470,0.011,50.1
2489,37.70046734568745,-121.89465816847375,680,E,HOV,80,0.235,11.9
1677,37.29670677865676,-121.89088939258491,80,N,OR,244,0.092,43.7
2553,37.59790419384043,-122.0043607326318,101,E,OR,195,0.197,36.1
9145,37.70373983377177,-122.10448133283121,101,W,ML,53,0.126,21.9
5186,37.29818072421831,-121.9077682209114,680,N,HOV,12,0.046,53.8
1941,37.694795410072054,-121.79253237976656,680,W,ML,104,0.219,16.2
4129,37.80230242750099,-122.30143253246501,80,E,ML,261,0.274,41.0
1792,37.89722692000124,-122.093110084591,280,S,ML,305,0.215,23.5
7433,37.69063437737346,-121.80880132573566,880,N,ML,275,0.142,53.2
1067,37.80864857124932,-122.29796725076274,280,N,FR,74,0.156,30.1
4159,37.39666073558629,-121.90868227507485,80,W,FR,105,0.225,32.2
7496,37.302394694850896,-121.90481693928824,101,S,ML,484,0.214,71.6
7492,37.3961513547411,-122.10896166045048,680,E,FR,490,0.026,32.8
9615,37.59764418974799,-122.00873683881974,880,W,OR,44,0.189,74.5
6855,37.80745347016873,-122.39799823963946,280,S,HOV,83,0.106,22.0
8485,37.39631416829827,-122.09950795876046,880,S,OR,422,0.161,63.0
5865,37.30666197701697,-121.89131702194202,80,W,FR,307,0.018,42.7
6918,37.59980211330856,-122.30841338096486,680,N,OR,424,0.052,32.1
2540,37.693177587602776,-121.8910390988273,80,S,HOV,113,0.07,28.3
9133,37.49396567920669,-122.20379075878857,680,N,HOV,462,0.093,58.3
6554,37.90991432636895,-121.99989740661329,280,W,HOV,195,0.063,60.1
8309,37.491100468314684,-122.20039032941045,280,S,FR,328,0.168,33.6
2518,37.793247226171594,-122.39129288114488,101,S,ML,452,0.118,66.6
3902,37.801827105187236,-122.39877091795594,101,S,ML,149,0.131,32.8
1752,37.39408011489207,-122.093950521841,101,N,FR,253,0.088,41.7
1147,37.70373449924305,-121.799428436769,880,S,ML,240,0.215,36.2
2911,37.593634415074355,-122.00065601862052,880,N,ML,448,0.042,51.8
5240,37.89292528174271,-122.00509969078843,880,S,OR,135,0.285,65.4
7856,37.80417743891802,-122.40615184652727,80,E,FR,339,0.089,34.0
2017,37.892419188222505,-122.0942134186203,101,W,ML,419,0.211,24.4
9857,37.904028549389025,-121.99453551843827,680,N,ML,428,0.064,42.1
3947,37.893465883519276,-122.10839201342876,80,N,HOV,195,0.121,46.3
2496,37.40385000358945,-121.90978620200721,880,W,ML,148,0.268,19.6
3524,37.695523031899356,-122.50457274551539,880,W,HOV,97,0.14,54.2
7127,37.40206679093115,-121.89616911369909,80,S,FR,258,0.142,45.1
3663,37.89957125728682,-122.00671628996479,80,W,HOV,38,0.263,64.2
3543,37.899420464061585,-121.99383921031776,880,S,ML,349,0.041,43.2
3838,37.809747739248635,-122.40169850049426,880,W,ML,428,0.041,72.5
8339,37.79116137734565,-122.30698906693935,680,S,OR,130,0.078,26.9
4908,37.59100782234812,-122.00328651934097,80,N,HOV,267,0.111,61.9
3460,37.8039734015722,-122.40983521885745,101,N,HOV,236,0.144,62.9
2071,37.69071742114394,-121.89763419571446,80,E,ML,347,0.099,49.9
5849,37.60678191686897,-121.99589648187546,680,W,FR,460,0.226,31.0
1071,37.39058219182053,-121.90944925619254,880,E,ML,226,0.126,17.4
2020,37.49453154474976,-122.19514159673761,880,E,FR,445,0.038,61.5
3358,37.40249874208863,-122.10356409386715,80,S,HOV,360,0.209,43.7
4693,37.40248309610045,-122.09409420041352,680,E,FR,273,0.108,56.8
8487,37.89322971974924,-122.00705658177513,101,S,HOV,230,0.092,21.9
9674,37.39692945755467,-121.89978240781618,680,E,OR,200,0.099,37.2
3323,37.60619478131909,-122.00232016954541,680,N,FR,324,0.259,25.6
4612,37.70420757662805,-121.89420501876265,80,E,OR,375,0.135,26.0
6229,37.906657767715124,-121.9926925383418,680,N,OR,250,0.081,17.8
7196,37.79487251370145,-122.39477208959124,280,W,HOV,195,0.258,46.6
1103,37.80925780627395,-122.29391948534926,280,N,FR,374,0.163,55.9
5582,37.79450124096125,-122.39006963042564,280,S,FR,144,0.296,54.0
5608,37.49040523528683,-122.20653125794378,680,S,ML,133,0.246,17.3
8362,37.5929750670657,-121.99978023972491,880,N,OR,251,0.077,38.3
9945,37.89069006301121,-122.00048569132758,80,W,ML,173,0.114,15.1
9128,37.59185445255601,-122.30056515310201,101,E,FR,350,0.11,41.7
6200,37.69479470284726,-122.49135937536798,280,E,FR,366,0.204,45.2
3997,37.393559047332204,-122.10178053381665,680,E,OR,281,0.074,51.6
7530,37.40692117233718,-121.99130794917816,101,S,HOV,222,0.021,60.5
3627,37.809303499020324,-122.29345769262297,880,E,ML,381,0.209,37.9
1378,37.90559282254831,-121.99042938360836,280,E,OR,466,0.131,12.5
6486,37.70685360425304,-122.49444199273744,101,E,OR,249,0.111,12.8
1872,37.30609369370098,-121.90843701485214,80,N,OR,452,0.166,55.0
8802,37.50730483049097,-122.20909132476454,880,S,HOV,492,0.271,60.3
3148,37.49564623150522,-122.19150204242469,101,W,ML,438,0.274,52.7
1021,37.40182317444027,-122.09451072815686,80,E,ML,219,0.189,52.5
2665,37.900059049096214,-122.09837247335767,880,W,FR,477,0.12,29.9
5526,37.70371202375297,-122.49040615438945,880,S,HOV,288,0.085,32.5
6866,37.800149500043496,-122.40021473726087,680,W,FR,21,0.163,40.9
7757,37.896305737932934,-122.30467813642524,101,W,FR,108,0.269,20.8
6187,37.40093814608173,-122.00994185809195,101,E,OR,187,0.252,21.7
8199,37.4009727158057,-121.90586367336398,680,N,ML,463,0.285,30.6
4355,37.89415221316367,-122.30550172703562,880,S,OR,37,0.177,43.6
5608,37.29481884682809,-121.90716988486504,80,E,ML,245,0.225,33.4
3846,37.49501055642154,-122.19258987275236,80,W,OR,409,0.023,43.9
8960,37.701494434030224,-122.09691594197733,680,E,OR,103,0.084,74.2
1573,37.70531011557339,-122.50638528413516,280,N,HOV,314,0.128,53.4
2746,37.39995365127297,-121.89192416116852,680,N,OR,231,0.181,26.5
3818,37.40375115040637,-121.99577375246021,880,S,HOV,420,0.294,53.2
9293,37.896181069568364,-122.30593475679417,280,N,ML,322,0.1,57.3
7883,37.79906967207713,-122.29894860233917,280,N,FR,77,0.181,26.4
6032,37.59235994117058,-122.004988479132,80,W,FR,208,0.123,50.2
9069,37.405308501352785,-122.10706795913619,880,W,ML,499,0.201,74.0
5562,37.404576000223805,-121.90089829715379,880,S,HOV,331,0.151,64.2
5593,37.609728745245214,-122.00906545369622,680,W,HOV,257,0.012,54.2
5936,37.89091288509036,-122.29966086806053,280,S,FR,244,0.096,40.0
8459,37.498165407397416,-122.19567920374824,680,E,ML,461,0.066,65.7
8262,37.306250405472326,-121.89278434945932,280,W,HOV,409,0.128,12.0
1939,37.60716476367152,-122.29643986445689,101,W,ML,458,0.148,11.6
9553,37.89924420360216,-122.00607831640498,80,W,OR,332,0.215,43.1
6276,37.60941750487415,-122.30300832539726,80,E,FR,28,0.117,53.4
8365,37.70157282836965,-122.09474993178439,280,W,FR,452,0.168,45.0
4201,37.702833992122954,-122.50110983204353,680,E,HOV,428,0.265,19.8
5625,37.707624784021036,-122.491661230114,280,S,ML,345,0.089,63.0
7813,37.398353394465325,-122.09975033185863,101,E,ML,493,0.162,51.0
4448,37.60327438977344,-121.99256031419264,80,E,HOV,415,0.121,21.1
9513,37.80820366466886,-122.39943778530001,280,S,FR,35,0.04,15.3
9663,37.40230943489246,-121.9073382261915,101,S,FR,68,0.225,70.8
7691,37.398314997746596,-122.10955071396967,80,S,FR,262,0.251,29.5
8164,37.7934741279062,-122.30107504804245,880,N,OR,119,0.185,46.8
7820,37.39478559915273,-122.09201774697252,101,W,FR,352,0.106,55.6
8506,37.892962490446244,-122.29475513011843,280,S,HOV,377,0.145,10.8
9722,37.70654463781461,-122.09378217198517,101,N,HOV,302,0.257,67.4
1070,37.7975636278382,-122.40839291923625,680,W,FR,323,0.264,66.0
7055,37.80220654715454,-122.29997777909811,680,S,HOV,40,0.248,56.9
3840,37.69049203685473,-121.90266003143611,680,S,FR,244,0.165,34.5
8641,37.604634479020056,-122.29322697138674,101,N,HOV,56,0.135,28.3
9975,37.40938470770782,-122.09745972866472,280,S,OR,232,0.103,31.5
4446,37.60329230753411,-122.29735810394331,280,E,HOV,168,0.26,15.6
8549,37.30898766237688,-121.89028539520109,101,E,ML,109,0.012,42.2
1598,37.304633221724664,-121.90946069807651,680,E,HOV,59,0.276,56.0
6403,37.69780297644163,-122.49465377490944,680,W,OR,120,0.298,25.4
1201,37.69458862413287,-122.50180176353606,80,E,FR,167,0.022,68.4
7730,37.59033111926921,-122.30764867784652,101,W,FR,449,0.073,26.2
1376,37.30637634243605,-121.89001822728527,880,E,HOV,499,0.264,19.2
7065,37.89502521132812,-122.10227464496569,80,E,HOV,40,0.095,27.9
6144,37.39892230220027,-122.10440852980639,680,W,HOV,463,0.219,22.4
9924,37.70603765855624,-121.90931460051694,680,W,HOV,487,0.078,46.2
2401,37.391398801300745,-121.89831623315601,680,E,ML,274,0.168,69.5
4889,37.39214109681655,-121.99494923765796,280,W,OR,493,0.049,54.3
8282,37.79255838652637,-122.39745188740909,880,S,HOV,491,0.144,44.8
2244,37.59160222942051,-122.00716350617992,680,N,FR,441,0.095,46.0
3555,37.49079151098893,-122.1910797500644,80,N,HOV,371,0.152,71.3
4782,37.8073602106491,-122.30562877721776,880,W,HOV,20,0.014,22.5
2754,37.403190119214834,-122.10841082925569,280,W,HOV,336,0.064,50.3
6478,37.604162210551,-122.29875138739278,80,W,FR,432,0.092,63.2
2502,37.794672591608894,-122.30652280844342,680,N,OR,70,0.064,51.2
9607,37.39746587332995,-121.90468277370371,880,W,FR,434,0.208,27.1
1802,37.80982156077006,-122.3084028381163,280,S,OR,382,0.236,34.1
6604,37.894593184542316,-122.29285445974004,280,W,OR,163,0.252,65.5
2296,37.40078424239274,-121.90531489597764,80,W,ML,198,0.193,53.5
6936,37.395767101711506,-121.99116833221015,80,W,FR,10,0.044,62.8
7846,37.800533697100725,-122.29935270937743,280,S,FR,49,0.177,41.4
4214,37.807369203965315,-122.29624657115636,280,S,HOV,242,0.112,71.0
5031,37.60318831482088,-121.99284833477441,880,E,OR,233,0.227,22.8
1859,37.706616509030866,-122.49995806082588,101,S,FR,168,0.122,41.7
