freeway,direction,lane_type,flow,occupancy,region,temperature,windspeed,weathercode,incident_type,severity,speed
680,N,HOV,117,0.048,San Jose,25.6,4.9,3,none,high,48.4
880,W,HOV,196,0.03,San Francisco,19.0,2.8,0,accident,low,26.0
880,W,FR,90,0.234,Oakland,23.3,18.2,1,accident,medium,51.9
280,E,OR,158,0.042,Oakland,20.3,11.1,5,accident,medium,38.2
280,N,FR,323,0.181,Fremont,19.1,6.1,4,none,none,73.4
280,S,ML,22,0.06,Fremont,15.0,12.2,0,none,high,15.0
680,E,HOV,396,0.131,San Francisco,29.1,7.8,1,congestion,high,22.6
101,S,FR,156,0.137,Fremont,20.4,2.3,0,accident,none,29.3
101,W,OR,328,0.114,San Francisco,13.9,10.9,2,accident,none,46.8
101,N,FR,330,0.268,Oakland,24.3,7.6,1,congestion,none,48.5
101,N,HOV,235,0.015,San Jose,22.5,3.1,3,none,none,45.7
80,N,FR,216,0.096,Oakland,20.8,5.7,5,congestion,medium,23.8
880,W,FR,305,0.018,San Jose,22.9,19.0,2,roadwork,high,57.0
80,E,FR,460,0.02,Oakland,22.0,13.3,1,roadwork,low,52.8
680,N,ML,340,0.227,Oakland,22.0,13.9,0,accident,none,35.7
680,N,ML,76,0.125,Oakland,12.6,15.1,0,roadwork,none,40.8
680,W,FR,495,0.024,San Jose,20.2,9.9,1,congestion,medium,33.0
80,E,FR,117,0.172,San Jose,15.8,11.8,5,congestion,high,22.0
280,W,FR,271,0.247,Oakland,15.8,3.2,3,none,none,42.2
680,W,ML,167,0.025,San Francisco,19.8,18.9,2,congestion,none,31.9
101,W,OR,324,0.137,San Jose,27.0,2.6,1,none,medium,37.1
280,N,OR,50,0.164,San Jose,21.4,17.0,2,accident,high,21.9
101,W,ML,456,0.152,Fremont,16.3,4.8,3,congestion,none,24.5
280,E,HOV,432,0.04,San Jose,20.1,11.1,1,accident,low,18.6
80,S,ML,157,0.065,Fremont,11.1,8.8,0,accident,high,26.9
101,E,OR,328,0.271,San Francisco,15.1,7.7,3,congestion,medium,63.1
101,W,HOV,55,0.245,San Francisco,16.6,14.3,4,none,none,40.5
101,E,OR,144,0.101,Fremont,26.2,12.9,1,roadwork,low,44.3
80,S,OR,130,0.21,Oakland,23.5,18.4,1,congestion,medium,70.2
80,E,ML,424,0.27,Fremont,25.9,14.3,5,congestion,high,49.0
680,E,HOV,398,0.075,San Francisco,29.7,5.8,1,none,low,30.1
680,S,ML,337,0.195,San Francisco,14.1,17.9,5,accident,medium,14.7
